position,start,end,institution,location,description
Adjunct Professor,2025-03-01,NA,University of Flores,"Buenos Aires, Argentina",Course: Text Mining applied to Social Research. Focused on computational text analysis methods for political and social sciences.
Teaching Assistant (JTP),2024-03-01,NA,National University of La Matanza,"Buenos Aires, Argentina",Course: Demography. Teaching support in quantitative demographic analysis for Political Science undergraduate students.
